NO.,SMILES,BBB+/BBB-,group,BRIC_IDs,RING_IDs,SIDECHAIN_IDs,MW_RDKit,LogP_RDKit,HBA_RDKit,HBD_RDKit,TPSA_RDKit,Flexibility_RDKit,Charge_RDKit,HeavyAtom_RDKit,AtomStereo_RDKit,AtomCount_C_RDKit,AtomCount_H_RDKit,AtomCount_O_RDKit,AtomCount_N_RDKit,AtomCount_S_RDKit,AtomCount_F_RDKit,AtomCount_Cl_RDKit,AtomCount_Br_RDKit,AtomCount_I_RDKit,AtomCount_P_RDKit,AtomCount_B_RDKit,AtomCount_Li_RDKit,BondCount_Single_RDKit,BondCount_Double_RDKit,BondCount_Triple_RDKit,BondCount_Aromatic_RDKit,Total_Chiral_Centers_RDKit,R_Isomers_RDKit,S_Isomers_RDKit,E_Isomers_RDKit,Z_Isomers_RDKit,Num_4_Rings_Aromatic_RDKit,Num_4_Rings_NonAromatic_RDKit,Num_4_Rings_Total_RDKit,Num_5_Rings_Aromatic_RDKit,Num_5_Rings_NonAromatic_RDKit,Num_5_Rings_Total_RDKit,Num_6_Rings_Aromatic_RDKit,Num_6_Rings_NonAromatic_RDKit,Num_6_Rings_Total_RDKit,Num_8_Rings_Aromatic_RDKit,Num_8_Rings_NonAromatic_RDKit,Num_8_Rings_Total_RDKit,Num_Aromatic_Rings_RDKit,Num_NonAromatic_Rings_RDKit,Num_Total_Rings_RDKit,WienerIndex_RDKit,EccentricConnectivityIndex_RDKit,RadiusOfGyration_RDKit,LogP_PubChem,TPSA_PubChem,HBA_PubChem,HBD_PubChem,Flexibility_PubChem,Charge_PubChem,AtomStereo_PubChem,LogP_Avg,TPSA_Avg,HBA_Avg,HBD_Avg,Flexibility_Avg,Charge_Avg,AtomStereo_Avg
1,O=C(O)c1cc(N=Nc2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O,BBB-,A,BRIC0001; BRIC0002; BRIC0003; BRIC0004,RING0001; RING0002,SC0001; SC0002; SC0003; SC0004,398.4,3.7016,8,3,141.31,7,0,28,0,18,14,5,4,1,0,0,0,0,0,0,0,22,4,0,18,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,6162,1200,3.7556,-0.7,150,9,3,6,0,0,1.5008,145.655,8.5,3,6.5,0,0
2,COC1(NC(=O)C(C(=O)O)c2ccc(O)cc2)C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)COC21,BBB-,A,BRIC0003; BRIC0005; BRIC0006; BRIC0007; BRIC0008; BRIC0009; BRIC0010,RING0001; RING0003; RING0004; RING0005,SC0002; SC0005; SC0006; SC0007; SC0008; SC0009; SC0010,520.48,-1.1277,14,4,206.3,12,0,36,3,20,20,9,6,1,0,0,0,0,0,0,0,43,5,0,11,0,0,0,0,0,0,1,1,1,0,1,1,1,2,0,0,0,2,2,4,11351,1654,4.4443,-0.6,232,13,4,9,0,3,-0.8639,219.15,13.5,4,10.5,0,3
3,Oc1c(I)cc(Cl)c2cccnc12,BBB-,A,BRIC0011,RING0001; RING0002,SC0002; SC0011; SC0012,305.502,3.1984,2,1,33.12,1,0,13,0,9,5,1,1,0,0,1,0,1,0,0,0,8,0,0,11,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,2,0,2,518,210,2.7926,3.5,33.1,2,1,0,0,0,3.3492,33.11,2,1,0.5,0,0
4,CCNC(=NCCSCc1ncccc1Br)NC#N,BBB-,A,BRIC0009; BRIC0012; BRIC0013; BRIC0014; BRIC0015,RING0002,SC0006; SC0007; SC0009; SC0010; SC0013; SC0014,342.266,2.1135,4,2,73.1,7,0,19,0,12,16,0,5,1,0,0,1,0,0,0,0,27,1,1,6,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,3584,757,3.6895,2.1,98.4,4,2,8,0,0,2.1067,85.75,4,2,7.5,0,0
5,CN1CC[C@]23c4c5ccc(OC6O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]6O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5,BBB-,A,BRIC0001; BRIC0016; BRIC0017; BRIC0018,RING0001; RING0006; RING0007; RING0008; RING0009; RING0010,SC0002; SC0008; SC0010,461.467,-1.2365,10,5,149.15,8,0,33,10,23,27,9,1,0,0,0,0,0,0,0,0,57,2,0,6,9,4,5,0,0,0,0,0,0,1,1,1,4,5,0,0,0,1,5,6,11430,1493,4.4421,-3,149,10,5,3,0,10,-2.1182,149.075,10,5,5.5,0,10
6,CS(=O)(=O)N(CCO)c1c(Cl)c(Cl)cc2[nH]c(=O)c(=O)[nH]c12,BBB-,A,BRIC0019; BRIC0020; BRIC0021; BRIC0022,RING0001; RING0011,SC0002; SC0005; SC0006; SC0009; SC0012,368.198,0.6423,5,3,115.81,6,0,22,0,11,11,5,3,1,0,2,0,0,0,0,0,24,4,0,6,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,1,1,2,2470,516,3.3401,0.2,124,6,3,4,0,0,0.4212,119.905,5.5,3,5,0,0
7,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](OC2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)C=C[C@H]3[C@H]1C5,BBB-,A,BRIC0001; BRIC0017; BRIC0018; BRIC0023,RING0001; RING0006; RING0007; RING0008; RING0009; RING0010,SC0002; SC0008; SC0010,461.467,-0.8854,10,5,149.15,8,0,33,10,23,27,9,1,0,0,0,0,0,0,0,0,57,2,0,6,9,4,5,0,0,0,0,0,0,1,1,1,4,5,0,0,0,1,5,6,11090,1409,4.468,-2.9,149,10,5,3,0,10,-1.8927,149.075,10,5,5.5,0,10
8,O=C1CN(/N=C/c2ccc([N+](=O)[O-])o2)C(=O)N1,BBB-,A,BRIC0024,RING0012; RING0013,SC0002; SC0015; SC0016,238.159,0.0735,6,1,118.05,3,0,17,1,8,6,5,4,0,0,0,0,0,0,0,0,15,4,0,5,0,0,0,1,0,0,0,0,1,1,2,0,0,0,0,0,0,1,1,2,1150,376,3.6812,-0.5,121,6,1,2,0,0,-0.2132,119.525,6,1,2.5,0,0.5
9,O=c1[nH]c2cc(Cl)ccc2c(O)c1-c1cccc(Oc2ccccc2)c1,BBB-,A,BRIC0017; BRIC0025; BRIC0026; BRIC0027,RING0001; RING0014,SC0002; SC0012,363.8,5.5107,3,2,58.56,4,0,26,0,21,14,3,1,0,0,1,0,0,0,0,0,23,2,0,18,0,0,0,0,0,0,0,0,0,0,0,3,1,4,0,0,0,3,1,4,4723,971,4.3946,4.5,58.6,3,2,3,0,0,5.0053,58.58,3,2,3.5,0,0
10,COc1cc(C2c3cc4c(cc3C(OC3OC5COC(C)OC5C(O)C3O)C3COC(=O)C23)OCO4)cc(OC)c1O,BBB-,A,BRIC0005; BRIC0028; BRIC0029,RING0001; RING0010; RING0015; RING0016; RING0017; RING0018,SC0002; SC0005; SC0010,588.562,1.3386,13,3,160.83,11,0,42,10,29,32,13,0,0,0,0,0,0,0,0,0,67,1,0,12,0,0,0,0,0,0,0,0,0,2,2,2,3,5,0,0,0,2,5,7,20483,2174,4.8826,0.6,161,13,3,5,0,10,0.9693,160.915,13,3,8,0,10
